Inventarieregister för amber Biosciences AB						
						
Updateret : 2013-10-18						
						
						
Konto	Beskrivning	Inköpsdatum	Ansk. värde	Avskrivnings %	Avskrivning	Bokfört värde
1250	Dell Lattitude	2009-05-02	7785,00	80	6228,00	1557,00
1250	Dell PowerEdge R300	2009-01-04	8334,00	80	6667,20	1666,80
1250	MacBook Pro	2009-09-15	14396,00	60	8637,60	5758,40
1250	Dell U2410	2010-04-14	4985,00	100	4985,00	0,00
1250	MacBook Pro	2010-03-31	16620,00	60	9972,00	6648,00
1250	IMAC	2010-05-10	18220,00	40	7288,00	10932,00
1250	Acer laptop	2010-12-10	4028,00	40	1611,20	2416,80
1250	Airport extreme, Samsung printer	2011-01-03	3668,00	40	1467,20	2200,80
1250	MacBook Pro	2011-11-04	22400,00	100%	22400,00	0,00
